One occupation for multiple geographical areas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Occupation:Software Developers(SOC Code151252),,,,,,,,,,,,,,,,,
Period:May 2022,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Area Name,Employment(1),Employment percent relative standard error(3),Hourly mean wage,Annual mean wage(2),Wage percent relative standard error(3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage(2),Annual 25th percentile wage(2),Annual median wage(2),Annual 75th percentile wage(2),Annual 90th percentile wage(2),"Employment per 1,000 jobs",Location Quotient
"Abilene, TX(0010180)",         120,        13.4,       45.04,       93690,         2.6,       23.26,       34.75,       45.29,       57.47,       66.65,       48390,       72280,       94190,      119530,      138640,       1.687,        0.16
"Aguadilla-Isabela, PR(0010380)",         350,         9.0,       33.47,       69610,         2.0,       24.01,       25.17,       32.77,       40.24,       40.24,       49940,       52360,       68160,       83690,       83690,       6.922,        0.67
"Akron, OH(0010420)",        1980,         5.7,       49.55,      103070,         1.3,       30.68,       38.52,       48.70,       60.97,       66.00,       63820,       80130,      101300,      126820,      137280,       6.315,        0.61
Alaska nonmetropolitan area(0200006),          50,        22.9,       66.55,      138420,         4.5,       45.13,       50.07,       64.39,       80.52,       80.52,       93870,      104140,      133930,      167480,      167480,       0.452,        0.04
"Albany, OR(0010540)",         100,         7.6,       59.41,      123570,         4.0,       36.59,       48.40,       54.69,       64.37,       88.28,       76120,      100680,      113740,      133880,      183610,       2.142,        0.21
"Albany-Schenectady-Troy, NY(0010580)",        2910,         4.7,       53.17,      110580,         1.8,       31.66,       40.43,       50.67,       63.49,       78.39,       65840,       84090,      105390,      132050,      163060,       6.793,        0.65
"Albuquerque, NM(0010740)",        1510,        12.9,       53.93,      112180,         5.6,       29.80,       38.74,       48.87,       63.24,       85.00,       61980,       80570,      101640,      131540,      176810,       3.961,        0.38
"Allentown-Bethlehem-Easton, PA-NJ(0010900)",        1340,         3.6,       52.87,      109970,         1.2,       29.87,       38.71,       49.87,       61.65,       76.89,       62130,       80520,      103720,      128230,      159940,       3.718,        0.36
"Altoona, PA(0011020)",         100,         6.3,       47.12,       98010,         1.8,       32.64,       37.53,       47.05,       56.16,       59.83,       67900,       78060,       97870,      116810,      124440,       1.786,        0.17
"Amarillo, TX(0011100)",         290,        17.4,       53.72,      111740,         2.2,       31.40,       41.77,       50.09,       60.61,       76.40,       65300,       86880,      104180,      126060,      158920,       2.485,        0.24
"Ames, IA(0011180)",         340,         9.7,       53.51,      111300,         4.6,       32.07,       39.48,       50.83,       64.22,       80.00,       66700,       82120,      105730,      133570,      166390,       7.315,        0.70
"Anchorage, AK(0011260)",         240,        12.0,       65.97,      137210,         4.0,       38.47,       50.27,       64.52,       80.67,       94.08,       80010,      104570,      134210,      167800,      195690,       1.439,        0.14
"Ann Arbor, MI(0011460)",        2810,         4.1,       53.86,      112020,         1.2,       30.56,       39.52,       49.99,       62.86,       78.75,       63570,       82210,      103980,      130740,      163800,      13.284,        1.28
"Anniston-Oxford-Jacksonville, AL(0011500)",          60,        21.7,       46.84,       97420,         5.1,       26.21,       35.00,       46.28,       60.64,       71.15,       54520,       72810,       96260,      126140,      147990,       1.285,        0.12
"Appleton, WI(0011540)",         600,         6.0,       49.03,      101970,         1.3,       31.73,       38.70,       47.70,       60.23,       64.31,       66000,       80500,       99210,      125270,      133770,       4.971,        0.48
Arizona nonmetropolitan area(0400001),         150,        12.0,       53.54,      111360,         2.6,       31.62,       39.50,       48.98,       63.72,       82.34,       65770,       82160,      101870,      132530,      171280,       1.605,        0.15
