,Area Name,Employment(1),Employment percent relative standard error(3),Hourly mean wage,Annual mean wage(2),Wage percent relative standard error(3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage(2),Annual 25th percentile wage(2),Annual median wage(2),Annual 75th percentile wage(2),Annual 90th percentile wage(2),"Employment per 1,000 jobs",Location Quotient,city,state_id,RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,city_ascii,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
0,"Abilene, TX(0010180)",120,13.4,45.04,93690,2.6,23.26,34.75,45.29,57.47,66.65,48390,72280,94190,119530,138640,1.687,0.16,Abilene,TX,394299.0,251.0,"Abilene, TX",msa,TX,799.9070793577263,801.5861418452411,802.742635473224,803.1104690341278,811.5835823733721,817.89795262431,824.5101136408578,822.1076280894421,819.4831390696926,815.7409147808863,816.7764456627257,818.6002921779996,818.1883123174107,820.8767548531382,820.047166825115,829.8134009980611,830.5721404036098,841.1659372779915,835.4913768486509,833.7706287987689,824.4825755044711,831.0944793866244,827.6713022147453,829.8679003711674,827.38536826501,836.2434993356326,844.960563737386,851.7712141951978,859.5024831459574,865.2322456580576,863.0668061676264,862.5477974359154,856.8459647657301,859.7853144667765,858.8405264092875,864.8103503956967,870.3543747196065,874.5807812661261,873.7066388856231,875.9223747752426,880.5338812143046,890.4334918633463,893.7900035724642,894.6758094811447,890.1733853281544,887.8694619771762,890.6380166467906,899.5406812807669,899.8308899354344,901.4452857275868,904.632286760147,915.0953387968044,922.0621371144504,925.4705603167992,926.7648311450498,927.6756545359916,925.52070558829,930.6149111684114,929.5012994681546,935.1389535774224,931.1225188261808,941.205097191432,947.40237262245,957.878127152321,958.7348960679524,964.4933193828996,969.6177946888162,973.802810064493,977.1188340788482,981.4284360878316,989.2899986083974,993.032574583524,1000.2031634519486,1005.825371635634,1019.8911159852996,1025.612979320551,1029.276487264009,1030.4363486392883,1038.6897546258404,1059.7998789674912,1072.7513910190075,1090.891564921994,1088.070580445006,1080.4826382154386,1073.453979442873,1081.6158452145694,1099.110410633902,1119.3986623433586,1130.1322721563845,1143.263250916899,1147.0271159805063,1167.4385219988928,1178.4815918991026,1178.411637513948,1172.955780815866,1169.5590557436788,1163.9954329093523,1176.0038362431708,1187.247379951294,1214.7407751854378,1203.230749419442,1210.4962796839884,1206.281095355879,1215.8526809039893,1220.1689814814815,Abilene,Texas,48441,Taylor,32.4543,-99.7384,125474,451.3,shape,False,True,America/Chicago,2,79699 79603 79602 79601 79607 79606 79605 79604 79608 79697 79698,1840019476
2,"Akron, OH(0010420)",1980,5.7,49.55,103070,1.3,30.68,38.52,48.7,60.97,66,63820,80130,101300,126820,137280,6.315,0.61,Akron,OH,394304.0,83.0,"Akron, OH",msa,OH,753.804721670194,760.8160198723718,765.4328999405343,765.3118162440151,767.775050844069,776.5304855004576,787.3887745208729,788.1922338775696,781.549515395495,782.5052691844849,778.8279701176419,784.5368420703662,782.6988551010036,783.4719755936154,777.1410910328666,779.0674751249542,786.7496050591826,798.9383889150589,803.0170418752325,798.1654337735993,794.3136930760053,796.9257360717631,800.9712928121667,802.737112048504,802.3695170765812,804.8190264752449,807.8223222544977,813.0390401111064,816.3538251314053,819.3175448815373,819.5848154047717,820.8853186391658,817.3649641371444,816.2849663938313,812.5047130613642,816.551395068934,819.4934034323343,823.561032492521,826.9172121893898,829.2515866725502,830.9303660799617,834.4011189275777,837.0356497451934,837.9740872691856,836.1802418133545,833.6947231426192,835.5484456830625,835.9997083198116,841.4894209685696,846.2349665562303,858.5931481993748,863.120678934088,868.96492691076,870.374031480683,872.0794394001816,874.5819635702643,871.2421192466123,875.1006206036877,872.7536593048413,874.9654028265824,876.9351771712256,878.5525805552348,887.3692043287546,892.725043103808,905.8755087296402,910.0518068824096,918.2445466501082,916.9208050746132,914.730059944611,917.7650724601104,922.3728351568448,933.7498604829344,941.9422386748224,950.4594354752112,956.4159846871707,965.8823693793064,983.1269581192396,1001.3492460132472,1010.8171255315788,1025.042459434903,1026.1783247917945,1030.8557363119996,1034.621148567059,1038.4857895198609,1039.1057612666586,1044.6413908145155,1059.875369334445,1083.6958433916886,1094.921863727938,1115.389518510029,1121.3211664857313,1130.5623948615607,1133.7630413459092,1143.6830892549349,1148.7330617427683,1153.503650331283,1157.6435496018173,1155.3922020103475,1150.612197518951,1152.101624089578,1171.303761180931,1193.3185876370171,1207.8708220866838,1209.298393810698,1209.885184277637,Akron,Ohio,39153,Summit,41.0798,-81.5219,546549,1230.5,shape,False,True,America/New_York,2,44306 44307 44304 44305 44302 44303 44301 44308 44325 44320 44311 44310 44313 44312 44319 44314 44309 44315 44316 44317 44326 44328 44334 44396 44398,1840000791
3,"Albany, OR(0010540)",100,7.6,59.41,123570,4,36.59,48.4,54.69,64.37,88.28,76120,100680,113740,133880,183610,2.142,0.21,Albany,OR,394307.0,330.0,"Albany, OR",msa,OR,,,,,,,,,,,,,,,,,,,,,,,,,962.3668914392764,959.5122790069888,953.2730083134752,988.0028296181708,997.143515309704,1023.3294857945184,1016.7010140361808,1022.8295710347888,1010.1613645166834,1015.7925624202632,1011.8591939501732,1021.9083466621584,1028.528096005786,,1042.753969889999,1047.8361770268834,1070.1828931928924,1101.8804054584846,1106.6206839869658,1109.1336567462624,1106.1394158819462,1108.059384128259,1102.0285232858746,1087.4203066118578,1116.0279939497514,1115.7930917547842,1129.129888616271,1141.0688074960206,1165.6338833195637,1171.2426334363536,1163.7660580235706,1166.9208393709691,1167.1771731985775,1173.5663667251902,1188.2650806420777,1203.3408255405236,1214.5276950877317,1199.0597072727762,1199.070692426247,1178.9704680269583,1195.9245161233696,1206.1594758218137,1228.9432671079155,1239.5758953084812,,1261.9820205384865,1281.5546212774632,1307.7306194072994,1298.602980714914,1275.1008528595794,1273.133936651563,,1313.5836481828576,1328.1881307243243,1376.6172642589152,1377.5168176280824,1415.7236209574414,1405.7863911783193,1448.5721548297995,1435.7177825210645,1450.4894634967434,1454.6736728371395,1495.909772303403,1519.001823082415,1499.8477529627598,1491.769210006903,1520.089057382656,1563.5658634431702,1612.1371612370558,1634.275612340567,1641.5082175710909,1623.9485877139844,1610.9454649410966,1628.515972060365,1616.6632672620244,1620.0492167156185,1615.823176667298,1616.560521855129,1622.0052724671611,1647.0662772448263,1668.186507936508,Albany,Oregon,41043,Linn,44.6272,-123.0965,66405,1190.4,shape,False,True,America/Los_Angeles,3,97321 97322,1840018605
4,"Albany-Schenectady-Troy, NY(0010580)",2910,4.7,53.17,110580,1.8,31.66,40.43,50.67,63.49,78.39,65840,84090,105390,132050,163060,6.793,0.65,Albany,NY,394308.0,64.0,"Albany, NY",msa,NY,1060.9672997327443,1063.931697319407,1069.7986755361612,1068.225740734417,1075.7882825222025,1082.4795141224738,1094.7444221311623,1097.996487820272,1098.4378539476747,1081.445775129451,1075.391479571028,1077.3898652421487,1090.5883885686485,1099.2071492675964,1104.0997746364258,1107.4395165629082,1113.7111663837895,1114.365187840787,1124.52300833626,1133.581544178123,1145.0567640709169,1138.174333981493,1119.136211277482,1111.1747335372636,1102.4008023048373,1116.774671029594,1120.695009022858,1135.664099200288,1142.262771666714,1144.820779502634,1146.7206517038944,1142.5237830722974,1141.73991717038,1134.2462016277989,1131.3379197675783,1135.3903348759538,1151.5213743366023,1168.4257335169368,1172.3723990743977,1183.1703284761509,1179.7998162112372,1186.1206725904278,1177.7620273543998,1181.0598827287793,1181.558748529728,1177.960856918214,1177.12510194146,1175.487714698791,1185.4467605005018,1188.5552409437046,1198.830760497138,1204.108014836276,1211.0199115296136,1215.465553978854,1222.1028016522373,1215.4684196872895,1209.7078709486575,1198.5692086680206,1206.311346798606,1213.0077066793062,1223.6626854263827,1230.5663774860138,1235.3557464218711,1239.1923846190482,1241.4683710903157,1244.240326769664,1249.8095742010414,1256.2467916661435,1260.9952935791164,1265.8818127529482,1270.2742429193652,1276.933368570221,1277.214592907724,1283.7737415199376,1288.8700282076004,1311.3652187136963,1325.5188483305594,1343.61794763897,1350.232652350781,1357.664602270684,1364.0703348832296,1366.8073300626738,1379.0405561550403,1389.915551780052,1401.1838770585923,1407.3379264080827,1417.4652000882948,1428.7066520549208,1449.008297796105,1467.379069087822,1485.5661884597962,1494.2008662171254,1498.358024268494,1497.9056295260737,1493.13560537046,1484.7742282757802,1487.851886702768,1494.739575147512,1497.2721793980063,1490.5680454120616,1502.8493413454548,1525.2375009690193,1550.4970294843165,1555.7809004963956,1567.2568786631498,Albany,New York,36001,Albany,42.6664,-73.7987,604077,1747.3,shape,False,True,America/New_York,2,12208 12209 12204 12206 12207 12202 12203 12205 12210 12226 12222 12201 12223 12228 12229 12230 12231 12232 12233 12234 12235 12236 12237 12238 12239 12240 12241 12242 12243 12244 12245 12246 12248 12250 12255 12257 12260 12261,1840000417
5,"Albuquerque, NM(0010740)",1510,12.9,53.93,112180,5.6,29.8,38.74,48.87,63.24,85,61980,80570,101640,131540,176810,3.961,0.38,Albuquerque,NM,394312.0,62.0,"Albuquerque, NM",msa,NM,932.5788885516,932.5559571587712,939.5109884398402,948.295911433654,952.0660532654068,955.9475185779391,955.2204182144644,957.4517655532974,953.7218562339754,953.3132822299748,950.9990309731415,954.4103790362922,955.5954436782552,958.6109543767428,963.9837917390324,974.256082261556,981.8814094384207,984.1002214428996,983.0970106032394,986.5275150373758,983.8404627508966,978.1403768252792,972.3930313799888,971.7117029658268,978.4896951151372,985.6055457707376,995.2054337098248,998.9904676589628,1002.6975294936152,1007.3281149460988,1009.3445480217472,1010.1221148600482,1006.6418098882554,1007.1397636865692,1004.4231797003144,1003.5919957681352,1004.3715133253552,1009.7695155224822,1019.7820124172486,1027.2225882138298,1032.8221965065366,1036.471918558461,1040.4434855441098,1043.8092483284252,1042.905464052419,1043.0836898833766,1041.992017478826,1043.78428222382,1045.0230779666426,1052.4502194281292,1060.5752676875936,1069.2136785266675,1076.663435199378,1085.713139265242,1092.7816501609846,1097.5872400428664,1098.445273590139,1099.4217786007791,1097.1212422775322,1095.7672908023744,1101.264704709565,1109.4534135831673,1116.938662327136,1116.2137645141966,1114.4622758441994,1124.7015506512282,1139.7675242176504,1155.9240542283865,1168.11823527591,1173.992311719153,1179.575173808891,1179.7272117518446,1190.6147061608822,1203.3354941986884,1218.750042848042,1238.9021032678825,1265.4914086433012,1296.5215837514306,1324.1426277525486,1356.6425083357915,1381.179867649059,1391.332485323962,1388.2645720773926,1394.8474793981063,1402.1187519101825,1412.3992371345755,1421.273981651546,1439.3169338995428,1469.3018575665724,1492.4707176507193,1515.9710529079216,1519.3684111010189,1524.8720125557963,1530.0862170311807,1539.5792994232197,1535.1050437846568,1538.3504869322162,1527.38601533299,1543.0994217798675,1550.606359326881,1568.0778703498256,1575.366574197169,1577.6332961688186,1588.26451035537,1592.18617239747,Albuquerque,New Mexico,35001,Bernalillo,35.1054,-106.6465,765693,1155.5,shape,False,True,America/Denver,2,87123 87112 87113 87110 87111 87114 87109 87108 87101 87102 87105 87104 87107 87106 87120 87119 87125 87131 87153 87154 87158 87181 87184 87187 87190 87191 87192 87194 87196 87197 87198 87199,1840019176
6,"Allentown-Bethlehem-Easton, PA-NJ(0010900)",1340,3.6,52.87,109970,1.2,29.87,38.71,49.87,61.65,76.89,62130,80520,103720,128230,159940,3.718,0.36,Allentown,PA,394318.0,70.0,"Allentown, PA",msa,PA,1073.7511457343112,1072.595962499943,1069.230837460448,1071.41610635425,1072.0457474559194,1083.401705704417,1087.3986531203177,1093.356893947259,1091.3477517571607,1095.452918294715,1092.996314871492,1091.4959654045815,1094.7165846182477,1100.3735062928545,1102.6047654345402,1103.0825226806066,1104.147361238134,1114.799966441787,1119.1396312181046,1123.7949016414764,1119.444364770346,1116.0179365783565,1117.0557549088117,1118.6193550482972,1124.1476558983193,1130.6165097911498,1143.5590793755462,1145.5070361689625,1154.9230857770117,1152.1057374435725,1155.3667868009848,1153.007405568639,1157.4352297090552,1163.5614013980096,1165.0376241604356,1161.087075556289,1162.0472749371315,1167.5061093180775,1179.7262831924238,1187.8886524839977,1194.7230220910076,1194.199896001762,1199.1202721254358,1202.8469493157268,1209.569150224262,1207.2410291656286,1205.9404089295608,1201.8270928334468,1201.6007615152043,1203.981072624567,1215.8607796374952,1230.2931521327798,1240.6023568863554,1243.7678978922163,1245.5749008412624,1247.4934830100538,1253.943329418904,1253.5207295256623,1258.6785549461258,1257.4774637246376,1265.6590944129182,1269.9624137378896,1275.341859671445,1277.0061104164977,1276.2577359923027,1280.0122862264202,1288.7490506875197,1305.3549108957666,1322.131537919037,1340.1064672904406,1353.6582663083689,1365.4279670879882,1364.4474515190648,1365.2625153849758,1376.652688119906,1400.4909236667595,1433.591629658912,1464.4546036269714,1496.2089275944306,1520.1013246028892,1528.45666778796,1538.0011803092357,1543.1689833280573,1562.1521494003694,1577.8735804637795,1593.4409297239688,1604.168281356342,1616.1901121240585,1631.2459634095253,1645.7499388302986,1650.4291296531526,1652.9751405439056,1651.23186723245,1642.3947278936478,1635.5145037137445,1636.7813986598164,1653.2567189736014,1672.1613988253146,1687.5043420019338,1694.7854138095124,1699.1435256791765,1699.368719878668,1711.2787682691237,1722.7996373464832,1733.6306935562254,Allentown,Pennsylvania,42077,Lehigh,40.5961,-75.4756,714136,2663.3,shape,False,True,America/New_York,2,18104 18101 18103 18102 18109 18001 18105,1840001044
8,"Amarillo, TX(0011100)",290,17.4,53.72,111740,2.2,31.4,41.77,50.09,60.61,76.4,65300,86880,104180,126060,158920,2.485,0.24,Amarillo,TX,394323.0,186.0,"Amarillo, TX",msa,TX,,,,,,,,,,,,,,,,,976.9981386436792,978.770933011769,995.664289900259,973.1533699267228,956.6291117911384,984.8947266837712,993.5881571381595,992.3625408998158,961.8077800892588,961.6435357436144,981.489208072723,989.0142261366112,992.0822693794368,994.5500242525808,1005.9030627638508,1007.5881078501644,1011.0028235619162,992.540895766939,986.9288875651404,982.1080376815592,990.5472743729806,995.26879356008,1000.3431428581736,1002.6969414291036,1006.8030903713236,1009.4878455499088,1017.131871533444,1022.8540906258114,1023.1506735633636,1017.329436625264,1012.5598599054856,1012.0801815085372,1009.9715443383463,1016.0056490166958,1018.6650614438493,1024.739247614716,1028.4856577562437,1035.7721400900932,1045.2663412387342,1050.1030563875047,1054.012624697799,1049.5144900912812,1042.3041010255324,1044.033489637282,1050.823003627772,1055.4882216659555,1054.4379029983893,1056.1215368189985,1064.3525996600674,1078.259417939686,1084.2990837630532,1083.2311500643302,1084.725846335379,1092.9996111131327,1101.2575981418315,1089.8639530495238,1085.3401814556155,1099.5882696673016,1118.6321499775142,1130.4440323327765,1140.6595485203811,1144.6052183053432,1159.6311829402223,1170.362863145023,1189.6711438767854,1195.5640070485226,1187.819090836446,1190.467462254845,1202.0028289873233,1222.0372207446974,1229.5999713330816,1247.2263283425962,1261.4769895220634,1290.5111824246574,1305.1572473008912,1304.2851097874611,1294.9160541571905,1294.900419506077,1299.624512571912,1292.8326384782852,1290.594451345803,1293.0277180645255,1309.2113481288898,1313.65782300448,1323.0624451142276,1323.725784280886,1322.0191743405762,1326.3288472437405,1346.2216524216524,Amarillo,Texas,48375,Potter,35.1984,-101.8316,204357,748.0,shape,False,True,America/Chicago,2,79121 79109 79101 79102 79103 79104 79106 79107 79118 79111 79110 79114 79116 79117 79120 79166 79168 79172 79174 79178 79189,1840019156
9,"Ames, IA(0011180)",340,9.7,53.51,111300,4.6,32.07,39.48,50.83,64.22,80,66700,82120,105730,133570,166390,7.315,0.7,Ames,IA,394325.0,336.0,"Ames, IA",msa,IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,851.3942761303522,860.0137925296314,865.0457713617822,851.1456310016905,857.161779200762,848.7054910332201,846.4534537966568,840.7369208259685,839.9281406281366,840.2143813130217,833.3999458455504,828.668745112559,829.8764920516758,840.7202099161049,847.2283170846915,854.9822857585765,854.2006901398671,857.9878285987713,852.3801174171143,852.4545216019064,852.9778077718632,855.1997001670841,847.9927525319687,834.3931845899007,837.9400135134805,852.6956235631394,865.4445282076358,867.9361347278125,864.1253976929405,866.159518169612,863.0622096337022,854.8730092680753,846.4432681391997,846.0544710913927,855.0416257187464,865.9336074284414,885.804459989024,892.890926852958,902.7198730495272,896.9989184102262,891.9618748475657,876.019351265772,868.7083456948577,874.434966602239,886.728414509055,901.6049709572052,903.7759352528644,892.1695977253703,894.8801376879924,906.0679376460156,925.8528368480006,925.9711388019006,927.2034928613848,931.3963686997754,940.8291864573634,946.6234571655394,947.31768809154,948.1685577485734,947.4555879021252,941.875752585418,943.7209231845192,954.2748088441136,976.5102768083386,980.902735144978,988.583932346291,981.486877059405,980.8831250928432,965.083422907006,958.6150857452616,964.4126962254968,961.5298813985572,974.502886002886,Ames,Iowa,19169,Story,42.0256,-93.6217,66027,929.0,shape,False,True,America/Chicago,3,50014 50013 50012 50010 50011,1840007019
10,"Anchorage, AK(0011260)",240,12,65.97,137210,4,38.47,50.27,64.52,80.67,94.08,80010,104570,134210,167800,195690,1.439,0.14,Anchorage,AK,394327.0,139.0,"Anchorage, AK",msa,AK,1412.6251641848737,1411.372346265125,1410.4616935799324,1405.5880299882615,1410.1820154533712,1418.9860045449134,1417.622475523975,1411.353779683687,1414.2502799239496,1417.3081457479927,1416.424107736221,1410.0370693635855,1407.357869260852,1411.6322653520876,1409.85413431217,1417.133372648844,1424.9544318077126,1410.76792420491,1389.4841808888646,1372.018356572017,1379.2475957446632,1377.1467119470312,1366.0775986293977,1346.891521128639,1352.4618981055005,1359.6613291407295,1381.5349184755178,1386.9687337229632,1398.1316068466183,1397.883373164172,1397.175642119441,1391.447314060493,1385.2936647456688,1379.6007026539933,1369.3704882375623,1367.6771820862225,1362.375744354748,1366.8608669982173,1372.8351273587004,1384.7127437630704,1398.6066312720975,1408.8618893922132,1413.997402447639,1410.8258681884115,1402.5942786127905,1395.629307684605,1391.9123126540874,1389.431358313137,1386.2615529548175,1385.530689225021,1390.1865091393518,1402.4805889925387,1409.050236952216,1410.4073311492905,1413.6657540270562,1417.6255068144785,1424.567431218658,1416.142188650816,1408.9195953815506,1400.1528646769625,1406.8586498934253,1409.557022731202,1417.48844461382,1412.9110349604225,1421.907531021931,1423.9662935737963,1435.0504897346473,1438.7757204681625,1448.3054147429252,1455.9844636787154,1463.6230558151983,1458.5532625247024,1455.4700724482805,1448.019994828576,1446.875457247674,1461.9856061926794,1479.9715214872065,1515.040176837989,1537.728349136721,1565.3208755812316,1574.846649421414,1574.41408373594,1566.984125778842,1557.2162119719576,1568.326417853663,1580.360347458018,1617.1240565393662,1641.1841870794544,1669.6046644947558,1693.14311615213,1713.6871635076393,1723.5844154987076,1716.3560044385274,1715.9248399378585,1716.4370266953283,1725.0906438413074,1720.1898688607637,1744.0216745534094,1740.9336383792722,1768.3060888209384,1782.482363125058,1812.3089896761437,1812.0612430509652,1817.281538161768,1823.9136002886,Anchorage,Alaska,2020,Anchorage,61.1508,-149.1091,292545,66.1,shape,False,True,America/Anchorage,2,99518 99515 99517 99516 99513 99540 99530 99567 99587 99508 99506 99507 99504 99505 99502 99503 99501 99577 99509 99510 99511 99514 99520 99521 99522 99523 99524 99529 99599,1840023385
11,"Ann Arbor, MI(0011460)",2810,4.1,53.86,112020,1.2,30.56,39.52,49.99,62.86,78.75,63570,82210,103980,130740,163800,13.284,1.28,Ann Arbor,MI,394332.0,148.0,"Ann Arbor, MI",msa,MI,1271.8425815899143,1296.8046297036335,1292.551956403583,1303.8898612581363,1313.9929275253603,1319.9644126914525,1315.6950190521727,1301.9831692739954,1306.407228108021,1310.0413108937894,1325.9408695332231,1327.112328496825,1333.105645701278,1325.7642461659589,1314.7083197140475,1314.445043194273,1319.1057064854856,1339.866840465934,1349.887715750285,1370.604361007818,1380.7979661007969,1386.140765537213,1383.2279062511082,1380.321353893648,1385.503564867146,1389.6763368102395,1395.441500283003,1395.8189670087754,1408.4859732174837,1417.6861542126394,1429.8444178314685,1434.5085964545087,1443.7043620580437,1442.9019739929304,1438.4438998684293,1436.4858217020546,1439.8808687401197,1449.5913221900555,1463.2663644919232,1472.662271808033,1483.4020716277523,1483.186277697483,1487.185318454759,1480.2869997480288,1481.1118100239696,1479.6928730944892,1480.1840244041878,1481.5840977613148,1509.1403298302591,1528.7638321384104,1541.0135976050628,1534.7460131750531,1532.701783955814,1537.964303819852,1532.3896043504217,1534.6043300560398,1530.341070367119,1535.8357534953943,1528.545683597512,1532.4365990114518,1532.720474084612,1552.2143567626265,1555.9875569739636,1555.6726697922015,1546.464295674068,1553.3877731983082,1555.447992694549,1556.3040216470656,1552.07296514919,1553.7612106169915,1561.4389346409232,1573.5056781171888,1585.041002294692,1602.155546881036,1599.9757606275348,1616.5120906928855,1618.8388185949404,1639.1991746584472,1656.8691626409654,1692.4910845090535,1715.3117751057214,1713.9217970447469,1709.733819153015,1716.9017366161804,1738.214351635841,1750.4183905573457,1763.7872008711313,1778.0107232607174,1806.923434278805,1827.017897970804,1861.0188798553136,1879.405550990697,1886.534247823176,1862.3914422885464,1852.155084016936,1861.7079269839803,1869.6643566182613,1879.8442617051924,1875.590107330292,1886.717813369692,1887.19488809022,1896.335012865797,1924.0914088002023,1927.2218123900427,1934.2749209088292,Ann Arbor,Michigan,26161,Washtenaw,42.2759,-83.731,327814,1658.0,shape,False,True,America/Detroit,2,48103 48109 48104 48105 48108 48113,1840003172
